number,actual_name,position_type,death_year,deathdate,death_location,death_age,era_name,birthdate,birth_year
2423,Vincent Joseph Scott,OL,1992,7/13/92,"Hamilton, Canada",67,1941 to 1959,7/10/25,1925
2424,William Albert Shockley Jr.,RB/FB,1992,12/7/92,"New York, NY",55,1941 to 1959,3/13/37,1937
2425,Fredric Warden Shook,OL,1992,4/16/92,,73,pre-1940,3/30/19,1919
2426,John Cooke Simerson Jr.,OL,1992,8/2/92,"Los Angeles, CA",57,1941 to 1959,4/20/35,1935
2427,Walter Wallace Singer,TE,1992,2/5/92,"New York, NY",80,pre-1940,12/6/11,1911
2428,Vaughn Morton Stewart,OL,1992,12/18/92,"Huntsville, AL",73,pre-1940,1/16/19,1919
2429,William Joseph Striegel,OL,1992,7/23/92,"San Joaquin County, CA",56,1941 to 1959,5/28/36,1936
2430,Joseph Elbert Stringfellow,RB/FB,1992,9/16/92,"Savannah, GA",74,pre-1940,3/10/18,1918
2431,Frank E. Strom,OL,1992,6/8/92,"Clinton, OK",75,pre-1940,8/29/16,1916
2432,George Ferdinand Strohmeyer Jr.,OL,1992,1/12/92,"Hidalgo County, TX",67,1941 to 1959,1/27/24,1924
2433,Robert Gerard Sullivan,RB/FB,1992,11/12/92,"Carmichael, CA",67,1941 to 1959,12/24/24,1924
2434,Jess Bolt Tatum,TE,1992,2/4/92,"Lancaster, NC",77,pre-1940,10/8/14,1914
2435,Hugh Wilson Taylor,TE,1992,10/31/92,"Wynne, AR",69,1941 to 1959,7/6/23,1923
2436,Lee Kessler Tevis,RB/FB,1992,8/23/92,"Houston, TX",70,1941 to 1959,9/29/21,1921
2437,Ivan Peter Trebotich,RB/FB,1992,8/4/92,"Napa, CA",71,1941 to 1959,12/30/20,1920
2438,Frank J. Trigilio,RB/FB,1992,3/5/92,,73,pre-1940,1/19/19,1919
2439,Douglas Pershing Turley,TE,1992,11/1/92,"Oak Hill, DE",73,pre-1940,11/25/18,1918
2440,Beverly William Wallace,QB,1992,6/17/92,"Newport Beach, CA",69,1941 to 1959,3/7/23,1923
2441,William Clark Ward,OL,1992,12/3/92,"Bellingham, WA",71,1941 to 1959,2/19/21,1921
2442,Timothy Bernard Washington,DB,1992,1/4/92,"Fremont, CA",32,1976 to 1989,11/7/59,1959
2443,Robert Foster Wear,OL,1992,4/22/92,"Martinsburg, PA",73,pre-1940,1/5/19,1919
2444,James Preston Weatherall,DL,1992,8/2/92,"Oklahoma City, OK",62,1941 to 1959,10/26/29,1929
2445,Henry K. Weinberg,OL,1992,10/31/92,"Baton Rouge, LA",82,pre-1940,3/4/10,1910
2446,Wilson Carl Whitley Jr.,DL,1992,10/25/92,"Marietta, GA",37,1976 to 1989,4/28/55,1955
2447,Daniel Adauf Williams,OL,1992,4/11/92,"Arden Hills, MN",93,pre-1940,1899-04-03,1899
2448,Michael Allen Wise,DL,1992,8/21/92,"Yolo County, CA",28,1976 to 1989,6/5/64,1964
2449,Alexander Francis Wojciechowicz,OL,1992,7/13/92,"Forked River, NJ",76,pre-1940,8/12/15,1915
2450,Albert Aldon Zagers,DB,1992,9/2/92,"Traverse City, MI",59,1941 to 1959,1/30/33,1933
2451,Joseph H. Zeno,OL,1992,1/8/92,"Sacramento, CA",72,pre-1940,6/14/19,1919
2452,Jeffery Lawrence Alm,DL,1993,12/14/93,"Houston, TX",25,1976 to 1989,3/31/68,1968
2453,Josh Ashton Jr.,RB/FB,1993,10/4/93,"Harris County, TX",44,1960 to 1975,8/24/49,1949
2454,Edward W. August,RB/FB,1993,10/15/93,"Mahanoy City, PA",89,pre-1940,8/5/04,1904
2455,Wesley Elmer Barbour II,RB/FB,1993,2/10/93,"Norfolk, VA",74,pre-1940,2/2/19,1919
2456,Alyn Richard Beals,TE,1993,8/11/93,"Redwood City, CA",72,1941 to 1959,4/27/21,1921
2457,Milford C. Berner,OL,1993,12/17/93,"Schaumburg, IL",87,pre-1940,7/8/06,1906
2458,John Bighead,DL,1993,4/28/93,"Parker, AZ",63,1941 to 1959,4/23/30,1930
2459,Cloyce Kennedy Box,TE,1993,10/27/93,"Durham, NC",70,1941 to 1959,8/24/23,1923
2460,Raymond Robert Bray,OL,1993,12/26/93,"Mesa, AZ",76,pre-1940,2/1/17,1917
2461,Dominic Anthony Cara,TE,1993,4/16/93,"Steubenville, OH",78,pre-1940,11/11/14,1914
2462,Stanley D. Cherry,LB,1993,2/10/93,"Baltimore, MD",42,1960 to 1975,11/2/50,1950
2463,George John Faust,RB/FB,1993,5/28/93,"Edina, MN",75,pre-1940,9/28/17,1917
2464,Bernard Francis Finn,RB/FB,1993,9/26/93,"Toms River, NJ",86,pre-1940,6/4/07,1907
2465,Keith Duane Flowers,OL,1993,11/12/93,"Plano, TX",63,1941 to 1959,4/24/30,1930
2466,Frank Andrew Fuller,DL,1993,12/14/93,"Los Angeles, CA",64,1941 to 1959,8/8/29,1929
2467,Bobbie Joe Green,ST,1993,5/28/93,"Gainesville, FL",57,1941 to 1959,5/7/36,1936
2468,John C. Hueller,OL,1993,8/29/93,"Milwaukee, WI",94,pre-1940,1898-09-29,1898
2469,Harry Anthony Jagielski,DL,1993,10/9/93,"Chicago, IL",61,1941 to 1959,12/25/31,1931
2470,Jon Francis Jelacic,DL,1993,9/17/93,"Beltrami County, MN",56,1941 to 1959,12/19/36,1936
2471,Jack Weldon Jennings,OL,1993,6/11/93,"Rocky River , OH",67,1941 to 1959,2/23/26,1926
2472,Bert Edward Johnson,RB/FB,1993,8/10/93,"Lexington, KY",81,pre-1940,2/18/12,1912
2473,Harvey Mabry Jones,RB/FB,1993,7/21/93,"Potter County, TX",72,1941 to 1959,4/15/21,1921
2474,Michael T. Kabealo,RB/FB,1993,9/24/93,"Kettering, OH",77,pre-1940,10/1/15,1915
2475,Joseph Leo Koons Jr.,OL,1993,10/20/93,"Shelby, MI",78,pre-1940,1/12/15,1915
2476,Ronald Michael Kostelnik,DL,1993,1/30/93,"Scott County, KY",53,1960 to 1975,1/14/40,1940
2477,James Raymond Leonard,RB/FB,1993,11/28/93,"Woodbury, NJ",83,pre-1940,2/14/10,1910
2478,Darrell George Lester,OL,1993,7/30/93,"Temple, TX",79,pre-1940,4/29/14,1914
2479,John E. Lookabaugh,TE,1993,5/16/93,"Pomona, NJ",70,1941 to 1959,9/13/22,1922
2480,Wilbur Harvey Lundell,TE,1993,7/7/93,"McAllen, TX",86,pre-1940,6/21/07,1907
2481,Eugene Paul Malinowski,RB/FB,1993,11/24/93,"Clinton Township, MI",70,1941 to 1959,9/26/23,1923
2482,Vincent L. Mazza,TE,1993,12/5/93,"Winona, Canada",68,1941 to 1959,3/25/25,1925
2483,Raymond Douglas McDonald,RB/FB,1993,5/4/93,"Houston, TX",48,1960 to 1975,5/7/44,1944
2484,Clarence Valentine McGeary Jr.,DL,1993,4/6/93,"Salt Lake City, UT",66,1941 to 1959,8/8/26,1926
2485,William Ward McKalip,TE,1993,7/11/93,"Corvallis, OR",86,pre-1940,6/5/07,1907
2486,Francis James McNally,OL,1993,2/5/93,"Delray Beach, FL",85,pre-1940,3/19/07,1907
2487,William Curtis Mecham,RB/FB,1993,5/26/93,"Kern County, CA",76,1941 to 1959,3/2/20,1917
2488,Robert Ellis Meyers Jr.,RB/FB,1993,4/19/93,"Morro Bay, CA",62,1941 to 1959,10/12/30,1930
2489,Joseph George Muha,RB/FB,1993,3/30/93,"Hemet, CA",71,1941 to 1959,4/28/21,1921
2490,James F. Murphy,RB/FB,1993,12/17/93,"Denton, TX",89,pre-1940,11/3/04,1904
2491,George Augustus Murtagh,OL,1993,2/10/93,"Richmond, VA",88,pre-1940,4/8/04,1904
2492,Walter Ignatius Nowak,TE,1993,11/12/93,"Westmont, NJ",78,pre-1940,6/2/15,1915
2493,Robert Bruce Olderman,OL,1993,10/20/93,"Atlanta, GA",31,1976 to 1989,6/5/62,1962
2494,Edward L. Opalewski Jr.,OL,1993,3/4/93,"Novi, MI",73,pre-1940,11/11/19,1919
2495,Joseph Charles Osmanski,RB/FB,1993,7/24/93,"Chicago, IL",75,pre-1940,12/26/17,1917
2496,Phillip Donald Perlo,LB,1993,12/11/93,"Houston, TX",58,1941 to 1959,12/6/35,1935
2497,George Rudolph Perpich,OL,1993,5/26/93,"Hibbing, MN",72,1941 to 1959,6/22/20,1920
2498,Joseph George Pilconis,TE,1993,6/29/93,"New Ringgold, PA",81,pre-1940,10/9/11,1911
2499,Paul E. Podmajersky Jr.,OL,1993,10/12/93,"Roseburg, OR",76,pre-1940,11/17/16,1916
2500,William Henry Pollock,RB/FB,1993,8/7/93,"Freeport, NY",81,pre-1940,12/5/11,1911
2501,Walter Velpo Rankin,QB,1993,11/7/93,"Lubbock, TX",74,pre-1940,1/28/19,1919
2502,Charles J. Reichow,RB/FB,1993,3/29/93,"Peoria, AZ",92,pre-1940,1901-03-19,1901
2503,Colin Edwin Ridgway,ST,1993,5/13/93,"University Park, TX",56,1941 to 1959,2/19/37,1937
2504,John Horn Riley,OL,1993,3/22/93,"Kenilworth, IL",83,pre-1940,6/13/09,1909
2505,Guy Thomas Roberts,RB/FB,1993,6/8/93,"Los Altos, CA",93,pre-1940,1900-05-10,1900
2506,John Joseph Rokisky,DL,1993,11/28/93,"Wintersville, OH",78,pre-1940,7/24/15,1915
2507,Roy Franklin Scholl,OL,1993,10/8/93,"Topton, PA",89,pre-1940,9/15/04,1904
2508,Leslie Henry Scott,OL,1993,5/23/93,"Yuma, CO",93,pre-1940,1899-12-20,1899
2509,Prince Arthur Scott,TE,1993,4/13/93,"Lindale, TX",75,pre-1940,6/30/17,1917
2510,Eugene Frank Selawski,OL,1993,5/11/93,"Duluth, GA",57,1941 to 1959,11/28/35,1935
2511,Leland Knoy Shaffer,RB/FB,1993,1/24/93,"Hillsboro Beach, FL",80,pre-1940,5/9/12,1912
2512,Bruce Stanley Sheriff,LB,1993,1/16/93,"Honolulu, HI",60,1941 to 1959,4/24/32,1932
2513,Rhoten Nathan Shetley,RB/FB,1993,1/7/93,"Greenville, SC",74,pre-1940,2/7/18,1918
2514,Marshall Abraham Shires,OL,1993,7/23/93,"Sacramento, CA",76,pre-1940,2/12/17,1917
2515,John F. Shirk,TE,1993,11/8/93,"Glendora, CA",76,pre-1940,6/24/17,1917
2516,James J. Spavital,RB/FB,1993,3/7/93,"Stillwater, OK",66,1941 to 1959,9/15/26,1926
2517,Mac Curtis Speedie,TE,1993,3/12/93,"Laguna Hills, CA",73,1941 to 1959,1/12/20,1920
2518,James Brooks Staton Jr.,DL,1993,9/16/93,"Greensboro, NC",66,1941 to 1959,5/23/27,1927
2519,William Alexander Stephens,OL,1993,7/25/93,"Claremont, CA",88,pre-1940,7/28/04,1904
2520,Arthur Alton Swain,TE,1993,9/24/93,"Farmersville, GA",89,pre-1940,9/5/04,1904
2521,John Harold Tavener,OL,1993,9/19/93,"Johnstown, OH",72,1941 to 1959,1/10/21,1921
2522,Eugene Warren Thomas,RB/FB,1993,8/27/93,"Independence,  MO",50,1960 to 1975,9/1/42,1942
2523,Rupert Vance Thornton,OL,1993,7/17/93,,73,1941 to 1959,1/5/20,1920
2524,William Thomas Walls,TE,1993,1/3/93,"Dallas, TX",80,pre-1940,12/8/12,1912
2525,Jerry Ray Watford,OL,1993,3/10/93,"Blountville, TN",62,1941 to 1959,12/19/30,1930
2526,David Benjamin Waymer Jr.,DB,1993,4/30/93,"Mooresville, NC",34,1976 to 1989,7/1/58,1958
2527,George Louis Webb,TE,1993,9/9/93,"Amarillo, TX",77,pre-1940,4/2/16,1916
2528,Roy Eldon White,RB/FB,1993,5/15/93,"San Antonio, TX",93,pre-1940,1900-02-28,1900
2529,Theodore Patrick Williams,RB/FB,1993,10/30/93,"Gloucester, MA",77,pre-1940,6/3/16,1916
2530,Vito Francis Ananis,RB/FB,1994,9/3/94,"Natick, MA",79,pre-1940,1/25/15,1915
2531,Alton Baldwin,TE,1994,5/23/94,"Hot Springs, AR",71,1941 to 1959,3/21/23,1923
2532,Hubert Lyle Barker,RB/FB,1994,4/6/94,"Tulsa, OK",75,pre-1940,11/12/18,1918
2533,Reaves Henry Baysinger,TE,1994,12/4/94,"Rochester, NY",92,pre-1940,1902-02-22,1902
2534,Kay Dee Bell,OL,1994,10/27/94,"Redmond, WA",80,pre-1940,10/14/14,1914
2535,Willis John Berzinski,RB/FB,1994,3/4/94,"Rochester, MN",59,1941 to 1959,7/18/34,1934
2536,Verlon Marion Biggs,DL,1994,6/7/94,"Moss Point, MS",51,1960 to 1975,3/16/43,1943
2537,Lewis Kenneth Billups Jr.,DB,1994,4/9/94,"Orlando, FL",30,1976 to 1989,10/10/63,1963
2538,Charles Louis Bivins,RB/FB,1994,3/11/94,"Fulton County, GA",55,1941 to 1959,10/16/38,1938
2539,Robert John Bjorklund,OL,1994,1/27/94,"Hopkins, MN",75,pre-1940,6/12/18,1918
2540,Harold Blackwell,RB/FB,1994,1/6/94,"New York, NY",74,pre-1940,5/12/19,1919
2541,Harold Lennon Blackman,RB/FB,1994,10/30/94,"Corsicana, TX",86,pre-1940,1/5/08,1908
2542,Phillip Brennan,TE,1994,9/24/94,"Park Ridge, IL",92,pre-1940,1902-08-20,1902
2543,Monte Leon Brethauer,DB,1994,10/14/94,"Portland, OR",63,1941 to 1959,4/8/31,1931
2544,Carl Joseph Buda,OL,1994,6/23/94,"Omaha , NE",75,pre-1940,2/22/19,1919
2545,Thomas Denmark Burnette,RB/FB,1994,9/9/94,"Martinsville, VA",79,pre-1940,7/29/15,1915
2546,Edward Carmack Butts,RB/FB,1994,6/7/94,"Billings, MT",90,pre-1940,1903-08-18,1903
2547,Joseph Edward Byler,OL,1994,5/5/94,"Des Moines, IA",71,1941 to 1959,8/25/22,1922
2548,Lee Roy Caffey,LB,1994,1/18/94,"Houston, TX",52,1960 to 1975,6/3/41,1941
2549,Darryl Marvin Carlton,OL,1994,4/28/94,  ,40,1960 to 1975,6/24/53,1953
2550,Russell B. Carroccio,OL,1994,6/28/94,"Wayne, NJ",63,1941 to 1959,4/28/31,1931
2551,Sebastian Tobias Caston,LB,1994,10/2/94,"Garland, TX",29,1976 to 1989,7/17/65,1965
2552,Anthony Joseph Falkenstein,RB/FB,1994,10/9/94,"Ceres, CA",79,pre-1940,2/16/15,1915
2553,Frank Joseph Filchock,RB/FB,1994,6/20/94,"Washington County, OR",77,pre-1940,10/18/16,1916
2554,Eugene C. Filipski,RB/FB,1994,8/23/94,"Calgary, Canada",63,1941 to 1959,6/14/31,1931
2555,James Edward Finks,QB,1994,5/8/94,"New Orleans, LA",66,1941 to 1959,8/31/27,1927
2556,Ray Paul Flaherty,TE,1994,7/19/94,"Coeur d'Alene, ID",90,pre-1940,1903-09-01,1903
2557,Oliver C. Fletcher,OL,1994,5/10/94,"Bullhead City, AZ",71,1941 to 1959,2/5/23,1923
2558,Robert F. Gifford,RB/FB,1994,8/31/94,"Westminster, CO",75,pre-1940,11/12/18,1918
2559,George John Gonda,RB/FB,1994,9/19/94,"Centreville, MS",75,pre-1940,2/23/19,1919
2560,Roy Cornelius Guffey,TE,1994,3/25/94,"Dallas, TX",91,pre-1940,1902-09-18,1902
2561,Merle Alison Hapes,RB/FB,1994,7/18/94,"Biloxi, MS",75,pre-1940,5/9/19,1919
2562,Joseph H. Haynes,OL,1994,3/9/94,"Tupelo, MS",72,1941 to 1959,3/26/21,1921
2563,Alfred George Hecht,OL,1994,10/24/94,"Collinsville, AL",74,1941 to 1959,9/17/20,1920
2564,John Francis Helwig,LB,1994,12/2/94,"Pontiac, MI",66,1941 to 1959,12/5/27,1927
2565,William Frank Hillenbrand,RB/FB,1994,7/17/94,"Indianapolis, IN",72,1941 to 1959,3/29/22,1922
2566,Jacob William Hoffman,OL,1994,6/6/94,"Allentown, PA",92,pre-1940,1902-03-31,1902
2567,Mike E. Kasap,OL,1994,10/20/94,"La Salle, IL",71,1941 to 1959,11/20/22,1922
2568,Anton Kaska,RB/FB,1994,8/9/94,"Marin County, CA",83,pre-1940,7/1/11,1911
2569,Michael Joseph Kochel,OL,1994,8/18/94,"Bellevue, NE",78,pre-1940,3/6/16,1916
2570,Elmer Frank Kolberg,RB/FB,1994,9/30/94,"Portland, OR",78,pre-1940,1/21/16,1916
2571,Zvonimir Kvaternik,OL,1994,10/19/94,"Shawnee Mission, KS",83,pre-1940,10/18/11,1911
2572,Gregory Edwin Latta,TE,1994,9/28/94,"Newark, NJ",41,1960 to 1975,10/13/52,1952
2573,Howard Livingston,RB/FB,1994,7/27/94,"Yorba Linda, CA",72,1941 to 1959,5/15/22,1922
2574,John Wayne Mangum,DL,1994,4/29/94,"Jackson, MS",51,1960 to 1975,9/30/42,1942
2575,Caleb Snyder Martin,OL,1994,9/10/94,"Winnsboro, LA",70,1941 to 1959,2/10/24,1924
2576,Robert Patrick Masterson,TE,1994,6/29/94,"Broward County, FL",79,pre-1940,1/5/15,1915
2577,Robert Edward Matheson,LB,1994,9/5/94,"Durham, NC",49,1960 to 1975,11/25/44,1944
2578,Gerald Avery Mays,DL,1994,7/17/94,"Lake Lewisville, TX",54,1960 to 1975,11/24/39,1939
2579,Arthur Joseph McCaffray,OL,1994,12/5/94,"Seattle, WA",72,1941 to 1959,12/26/21,1921
2580,Clinton McClain,RB/FB,1994,12/11/94,"Dallas, TX",76,pre-1940,6/18/18,1918
2581,Sylvester McGee,RB/FB,1994,7/18/94,,41,1960 to 1975,8/26/52,1952
2582,John Gerald McMullan,OL,1994,4/1/94,,60,1941 to 1959,6/28/33,1933
2583,Charles Edis McNeil,DB,1994,1/7/94,"Houston, TX",57,1941 to 1959,8/8/36,1936
2584,Louis Mihajlovich,DL,1994,12/11/94,,69,1941 to 1959,2/19/25,1925
2585,Paul William Miller,RB/FB,1994,6/2/94,"Tucson, AZ",81,pre-1940,1/23/13,1913
2586,Anton Henry Momsen Jr.,OL,1994,3/6/94,"Columbus, OH",66,1941 to 1959,1/29/28,1928
2587,Francis Dayle Moran,RB/FB,1994,12/30/94,"New Milford, CT",93,pre-1940,1901-07-31,1901
2588,Henry L. Mosley,RB/FB,1994,12/24/94,"Chicago, IL",63,1941 to 1959,2/10/31,1931
2589,Earl William Murray,OL,1994,7/14/94,"Midlothian, VA",67,1941 to 1959,7/16/26,1926
2590,Steven Murray Myhra,OL,1994,8/4/94,"Detroit Lakes, MN",60,1941 to 1959,4/2/34,1934
2591,Charles Edward Newton,RB/FB,1994,4/5/94,"Seattle, WA",77,pre-1940,11/15/16,1916
2592,Harry William O'Boyle,RB/FB,1994,5/5/94,"Wheeling, IL",89,pre-1940,10/31/04,1904
2593,Paul William Oglesby,OL,1994,9/25/94,"Riverside, CA",55,1960 to 1975,1/9/39,1939
2594,Ralph Kenneth Olsen,DL,1994,11/28/94,"Fruit Heights, UT",70,1941 to 1959,4/10/24,1924
2595,William A. Pellington,LB,1994,4/26/94,"Baltimore, MD",66,1941 to 1959,9/25/27,1927
2596,Stephen Lawrence Petro,OL,1994,8/15/94,"Jefferson Hills, PA",79,pre-1940,10/21/14,1914
2597,Michael Phillips,OL,1994,4/17/94,,72,1941 to 1959,11/22/21,1921
2598,Milton John Piepul,RB/FB,1994,3/19/94,"Northampton, MA",75,pre-1940,9/14/18,1918
2599,Richard Charles Poillon,RB/FB,1994,11/14/94,"West Palm Beach, FL",74,1941 to 1959,8/13/20,1920
2600,James Eugene Poole,TE,1994,11/16/94,"Oxford, MS",79,pre-1940,9/9/15,1915
2601,Philip John Ragazzo,OL,1994,10/3/94,"Warren, OH",79,pre-1940,6/24/15,1915
2602,James Herman Raiff,OL,1994,9/17/94,"Kettering, OH",63,1941 to 1959,12/21/30,1930
2603,Floyd Reid Jr.,RB/FB,1994,3/15/94,"Hamilton, OH",66,1941 to 1959,9/14/27,1927
2604,James Christopher Reilly,OL,1994,8/3/94,"Greenburgh, NY",46,1960 to 1975,2/8/48,1948
2605,Robert O'Dell Reynolds,OL,1994,2/8/94,"San Rafael, CA",79,pre-1940,3/30/14,1914
2606,Richard Gale Rifenburg,TE,1994,12/5/94,"Cheektowaga, NY",68,1941 to 1959,8/21/26,1926
2607,George Anthony Rosso,DB,1994,1/29/94,"Columbus, OH",64,1941 to 1959,1/15/30,1930
2608,George Henry Sauer Sr.,RB/FB,1994,2/5/94,"Waco, TX",83,pre-1940,12/11/10,1910
2609,Ralph Franklin Schilling,DL,1994,5/9/94,"McAllen, TX",72,1941 to 1959,7/5/21,1921
2610,Walter Gaye Schlinkman,RB/FB,1994,10/5/94,"Weimar, TX",72,1941 to 1959,5/2/22,1922
2611,George Sergienko Jr.,OL,1994,12/4/94,"Springfield, MA",76,pre-1940,5/22/18,1918
2612,William Washington Serini,DL,1994,6/21/94,"Highland, NY",72,1941 to 1959,3/11/22,1922
2613,Charles Edward Shaw,OL,1994,6/17/94,"Kingston, OK",67,1941 to 1959,3/6/27,1927
2614,Donald Roy Simensen,OL,1994,4/22/94,"Fridley, MN",67,1941 to 1959,9/11/26,1926
2615,George James Smith,RB/FB,1994,6/27/94,"McKeesport, PA",73,1941 to 1959,3/26/21,1921
2616,Frank James Spaniel Jr.,RB/FB,1994,10/27/94,"Washington Township, PA",66,1941 to 1959,5/21/28,1928
2617,Clifton M. Speegle,OL,1994,9/5/94,"Dallas, TX",76,pre-1940,11/5/17,1917
2618,Arthur F. Spinney Jr.,OL,1994,5/27/94,"Lynn , MA",66,1941 to 1959,11/8/27,1927
2619,Johnny Robert Spinks,OL,1994,9/29/94,"Jackson, MS",64,1941 to 1959,8/15/30,1930
2620,Clement Frank Stralka,OL,1994,1/10/94,"Denver, CO",80,pre-1940,5/19/13,1913
2621,Jack Chester Stroud,OL,1994,6/1/94,"Flemington, NJ",66,1941 to 1959,1/29/28,1928
2622,Woodrow Wilson Woodwine Strode,TE,1994,12/31/94,"Glendora, CA",80,pre-1940,7/25/14,1914
2623,Charles Albert Taylor,OL,1994,5/7/94,"Stanford, CA",74,1941 to 1959,1/24/20,1920
2624,Allen M. Teeter,TE,1994,4/14/94,"Holiday, FL",85,pre-1940,6/24/08,1908
2625,Flavio Joseph Tosi,TE,1994,12/18/94,"Beverly, MA",82,pre-1940,4/30/12,1912
2626,David Lane Tynes,RB/FB,1994,11/28/94,"Anchorage, KY",92,pre-1940,1902-02-26,1902
2627,Joseph Paul Tyrrell,OL,1994,6/10/94,"Philadelphia, PA",65,1941 to 1959,4/6/29,1929
2628,Emil P. Uremovich,OL,1994,4/22/94,"Knox, IN",77,pre-1940,9/29/16,1916
2629,Charles Edgar Van Horn,RB/FB,1994,1/5/94,"Arlington, VA",92,pre-1940,1901-11-23,1901
2630,Victor Joseph Vidoni,TE,1994,10/17/94,"Ravenna, OH",81,pre-1940,12/8/12,1912
2631,Paul Peter Vinnola,RB/FB,1994,10/23/94,"Denver, CO",72,1941 to 1959,8/24/22,1922
2632,Evan Edward Vogds,OL,1994,8/6/94,"Fond du Lac, WI",71,1941 to 1959,2/10/23,1923
2633,Walter Wilson Watt,RB/FB,1994,12/29/94,"West Palm Beach,  FL",72,1941 to 1959,6/16/22,1922
2634,Robert Leroy Wells Jr.,OL,1994,8/7/94,"Decatur, GA",49,1960 to 1975,8/4/45,1945
2635,Clarence Williams,RB/FB,1994,9/17/94,"Columbia, SC",39,1976 to 1989,1/25/55,1955
2636,Robert E. Winslow,DL,1994,1/11/94,"Fallbrook, CA",77,pre-1940,9/18/16,1916
2637,Gary Fay Wood,QB,1994,3/2/94,"Dix Hills, NY",52,1960 to 1975,2/5/42,1942
2638,Frank P. Yokas,OL,1994,5/12/94,"Los Angeles, CA",70,1941 to 1959,2/27/24,1924
2639,William A. Young Jr.,OL,1994,1/21/94,"Jacksonville, FL",79,pre-1940,5/20/14,1914
2640,John Albert Adams,TE,1995,8/8/95,"Helendale, CA",57,1941 to 1959,11/28/37,1937
2641,Albert George Akins,RB/FB,1995,8/29/95,"Reno, NV",74,1941 to 1959,6/13/21,1921
2642,John Vincent Ambrose,OL,1995,11/7/95,"Worceseter, MA",85,pre-1940,3/24/10,1910
2643,John Milton Ayers,OL,1995,10/2/95,"Canyon, TX",42,1960 to 1975,4/14/53,1953
2644,Emil Thomas Banjavic,WR,1995,12/1/95,"Las Vegas, NV",77,pre-1940,9/19/18,1918
2645,John Dolan Bookman Jr.,DB,1995,10/23/95,"Baton Rouge, LA",63,1941 to 1959,9/6/32,1932
2646,Bruce Lee Bosley,OL,1995,4/26/95,"San Francisco , CA",61,1941 to 1959,11/5/33,1933
2647,Maurice Lee Britt Jr.,TE,1995,11/26/95,"Little Rock, AR",76,pre-1940,6/29/19,1919
2648,Angelo Augustine Brovelli,RB/FB,1995,8/5/95,"Acampo, CA",84,pre-1940,8/21/10,1910
2649,Daniel Joseph Brown,DL,1995,6/17/95,"Havertown, PA",69,1941 to 1959,8/26/25,1925
2650,Rocco Peter Canale,OL,1995,11/1/95,"Manhasset, NY",78,pre-1940,5/1/17,1917
2651,Leo Cantor,RB/FB,1995,6/4/95,"San Fernando, CA",76,pre-1940,2/28/19,1919
2652,Ernest Francis Case,QB,1995,12/13/95,"Palos Verde Estates, CA",76,pre-1940,11/23/19,1919
2653,John Clement Cavosie,RB/FB,1995,3/16/95,"Indianapolis, IN",87,pre-1940,1/6/08,1908
2654,Robert Donald Chandler,WR,1995,1/27/95,"Los Angeles, CA",45,1960 to 1975,4/24/49,1949
2655,John Louis Chickerneo,RB/FB,1995,10/3/95,"Deerfield, IL",78,pre-1940,3/13/17,1917
2656,Daniel John Fortmann,OL,1995,5/23/95,"Pasadena, CA",79,pre-1940,4/11/16,1916
2657,Raymond Edward George,OL,1995,1/12/95,"Costa Mesa, CA",77,pre-1940,1/7/18,1918
2658,Sloko Gill,OL,1995,12/22/95,"Boardman, OH",77,pre-1940,3/8/18,1918
2659,David Wesley Griggs,LB,1995,6/19/95,"Davie, FL",28,1976 to 1989,2/5/67,1967
2660,Robert Seldon Hanlon,RB/FB,1995,7/20/95,"Oak Lawn, IL",70,1941 to 1959,8/24/24,1924
2661,Kenneth C. Haycraft,TE,1995,6/29/95,"Kaneohe, HI",88,pre-1940,2/16/07,1907
2662,Hugo Andrew Hollas,DB,1995,9/6/95,"Colorado County, TX",49,1960 to 1975,11/30/45,1945
2663,William Michael Thomas Hornick,OL,1995,5/3/95,"Taylorsville, MS",76,pre-1940,2/13/19,1919
2664,Leslie Horvath,RB/FB,1995,11/14/95,"Glendale, CA",74,1941 to 1959,10/12/21,1921
2665,Lindell Lee Houston,OL,1995,9/8/95,"Canton, OH",74,1941 to 1959,1/11/21,1921
2666,James Lee Howell,TE,1995,1/4/95,"Lonoke, AR",79,pre-1940,3/9/15,1915
2667,Richard Vernon Huffman,RB/FB,1995,3/18/95,"Bloomington, IN",80,pre-1940,12/18/14,1914
2668,Arthur Edward Jones Jr.,WR,1995,8/29/95,"Suffolk, VA",76,pre-1940,6/13/19,1919
2669,Herbert Russell Kane,OL,1995,4/19/95,"Las Vegas, NV",74,1941 to 1959,12/24/20,1920
2670,James Richard Katcavage,DL,1995,2/22/95,"Maple Glen, PA",60,1941 to 1959,10/28/34,1934
2671,George Charles Kavel,RB/FB,1995,7/17/95,"Sarasota, FL",85,pre-1940,3/3/10,1910
2672,George Kinek,TE,1995,1/21/95,"Salisbury Township, PA",66,1941 to 1959,1/13/29,1929
2673,Harry Smethers Kline,TE,1995,7/27/95,"Great Bend, KS",81,pre-1940,10/22/13,1913
2674,William Henry Lange,OL,1995,4/15/95,"Bellefontaine, OH",67,1941 to 1959,1/12/28,1928
2675,Hubbard Paul Law,OL,1995,3/29/95,"Mesa, AZ",74,1941 to 1959,1/27/21,1921
2676,Toy W. Ledbetter,RB/FB,1995,7/25/95,"Denver, CO",67,1941 to 1959,10/30/27,1927
